ID,Feature,Screen,State,Variant,Width,Height,TextScale,Keyboard,Fixture,Filename,SHA256,Notes
AHDASH-V10-0029,Profile,38 Profile,Normal,Primary,390,844,1.0,No,TEST-ONLY,15_profile/38_profile_primary_390x844.png,10e582e646beae19dbbf2d6fa6b16e9310dee9cf155622c5f702bb9ec795cf76,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0030,Notifications,39 Notifications,Current,Primary,390,844,1.0,No,TEST-ONLY,16_notifications/39_notifications_primary_390x844.png,c80bdda0a851070a8a330bb4f5e666c183e39918b3b028c7a4f92c823acca982,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0031,Settings,40 Settings,Signed in,Primary,390,844,1.0,No,TEST-ONLY,17_settings/40_settings_signed_in_primary_390x844.png,2d40a437ac3a9a7763dc77d7bf854df8cebcb21a85b0d4e5688f998469111ede,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0032,Report,41 Report a Problem,Empty form,Primary,390,844,1.0,No,TEST-ONLY,18_report/41_report_problem_empty_primary_390x844.png,11cbc3fd82e698467291c361a4d3ac1658a4a0c378df504b97f1c937bd591b58,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0033,Football Preferences,42 Football Preferences,Selected,Primary,390,844,1.0,No,TEST-ONLY,19_football_preferences/42_football_preferences_selected_primary_390x844.png,ab7bf1e03a159bc8174efe9c04923411e0f2ada2d0a06569d53ceeeca892c91c,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0034,Premium,43 Premium,Inactive entitlement / packages available / monthly selected,Primary,390,844,1.0,No,TEST-ONLY,20_premium/43_premium_inactive_primary_390x844.png,fda6a5d1c7a028f8292856c6fbec044897f84696441bd509483ac8f4f5b191f1,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0035,Tournament,19 Tournament Hub,Populated,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/19_tournament_hub_populated_primary_390x844.png,dd2581d829340982166ae472e70c19ef1a8b690ffc1e6dd3c5c3b14107db7840,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0036,Tournament,20 Create Tournament,Form,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/20_create_tournament_form_primary_390x844.png,5765ef3e781dfb0fd595f93982e4059c6d8c2117388839d1a7ff82e249cf31e0,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0037,Tournament,21 Tournament Teams,Populated,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/21_tournament_teams_populated_primary_390x844.png,231a92d36c49bd4c3a1a82eab8a14526204b72c3d2c3c307186adc8ffb20d2fc,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0038,Tournament,22 Tournament Draw,Draw,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/22_tournament_draw_primary_390x844.png,078893401c8d09a3a161a13c2406801915e3e7dcdbec2c65558a69503e506e51,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0039,Tournament,23 Tournament Bracket,Initial,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/23_tournament_bracket_initial_primary_390x844.png,4609e478a792daa358dcd7c41ad8e30cd1f42384a98a70f4d920876466703f6d,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0040,Tournament,23 Tournament Bracket,Semifinals,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/23_tournament_bracket_semifinals_primary_390x844.png,d793d93af99cf0ad59059e1cac5ab0a6992dfbaee48a405675dc16e23acec51e,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0041,Tournament,23 Tournament Bracket,Final stage,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/23_tournament_bracket_final_primary_390x844.png,b3e483eb5b23fffbdd661b659ce61ab2d3caf6ad2a8b4f85822f200c3e72e8be,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0042,Tournament,26 Tournament Match,Active,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/26_tournament_match_active_primary_390x844.png,623d713afd767e926cc63603a2f44c171de9bb70a786bb007b3815777a0151bf,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0043,Tournament,27 Tournament Champion,Champion,Primary,390,844,1.0,No,TEST-ONLY,08_tournament/27_tournament_champion_primary_390x844.png,3215d9b60c0d5e5654fed58f1e49ba2420ce29c7e690fa48f91443cdf5b596b5,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0044,Launch & Onboarding,01 Launch,Default,Compact,360,800,1.0,No,No,26_compact/01_launch_compact_360x800.png,7d6978ceab1a28d93c6eb6705d95a83b49062d38f6e6b16a381ec1cbc14bb07b,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0045,Launch & Onboarding,02 Onboarding,Step 1,Compact,360,800,1.0,No,No,26_compact/02_onboarding_step_1_compact_360x800.png,70a849aa635b57217ec2fba5802babb47ad459c434cfa21e8edea764e52a64f0,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0046,Launch & Onboarding,02 Onboarding,Step 2,Compact,360,800,1.0,No,No,26_compact/02_onboarding_step_2_compact_360x800.png,d77e81e7efa3d0bef49d983b9efb2ec1fa48759753080344e91f12580603207d,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0047,Launch & Onboarding,02 Onboarding,Step 3,Compact,360,800,1.0,No,No,26_compact/02_onboarding_step_3_compact_360x800.png,bb4cbb005279df5bba7d5db5df53c7a340579bbf3cadb2537ac532f6b0e33b31,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0048,Launch & Onboarding,02 Onboarding,Step 4,Compact,360,800,1.0,No,No,26_compact/02_onboarding_step_4_compact_360x800.png,6855d401b90e66d4066b25c7309ee7cac74c2df0345d3c67a45369eb1a7c120c,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0049,Authentication,03 Sign In,Empty,Compact,360,800,1.0,No,No,26_compact/03_sign_in_compact_360x800.png,d1cd48ac1b3ead14fd035b947746c5d0e964977396eac03ce00292e1ea390052,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0050,Authentication,04 Create Account,Empty,Compact,360,800,1.0,No,No,26_compact/04_create_account_compact_360x800.png,247a3b6baa470a20c263239d603aea218d39db2d2c3106ba16b7a3c029202dc3,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0051,Home,05 Home,Signed in,Compact,360,800,1.0,No,TEST-ONLY,26_compact/05_home_signed_in_compact_360x800.png,a4af451d29fe8426493bf00daa799a23f0b37fb49a46e13c016fb924f615c9d1,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0052,Categories,06 Category Selection,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/06_category_selection_compact_360x800.png,76efd20eb03eed373c14337e7293cf6b5cd3f7eae2c64bd43d85ebcf16851972,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0053,Categories,07 Category Detail,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/07_category_detail_compact_360x800.png,c57a92ab4f710dfec4c5cb81dbd10ec797c46b9ff85f9b3489705250d48e8b3a,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0054,Party Setup,08 Team Setup,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/08_team_setup_compact_360x800.png,bbfb5b81f0c85f5ba8822e2b4cd3ee427371683729aba33f4b7b6effc3f14dd3,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0055,Party Setup,09 Team Splitter,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/09_team_splitter_compact_360x800.png,0d8e563df8cf8563ab083821eb785610b0da86eb93a0f31a1127d8a685398029,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0056,Party Setup,10 Helpers,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/10_helpers_compact_360x800.png,572c52f011a373d21d569d4002a7e88dd2c626b253d8818584beffee83a15b02,Exact logical-pixel Flutter render; copied losslessly.
AHDASH-V10-0057,Party Setup,11 Ready,Representative,Compact,360,800,1.0,No,TEST-ONLY,26_compact/11_ready_compact_360x800.png,5f1ecf3afa22f5a29a8f1945aa367807eae389f9d4cdc7766ff30e559a5ea70a,Exact logical-pixel Flutter render; copied losslessly.
